"Identificador de URL";Nombre;Categorías;"Nombre de propiedad 1";"Valor de propiedad 1";"Nombre de propiedad 2";"Valor de propiedad 2";"Nombre de propiedad 3";"Valor de propiedad 3";Precio;"Precio promocional";"Peso (kg)";"Alto (cm)";"Ancho (cm)";"Profundidad (cm)";Stock;SKU;"Código de barras";"Mostrar en tienda";"Envío sin cargo";Descripción;Tags;"Título para SEO";"Descripción para SEO";Marca;"Producto Físico";"MPN (Número de pieza del fabricante)";Sexo;"Rango de edad";Costo
sweater-nina;"Sweater nina";Superiores;Color;Blanco;;;;;60,000.00;;0.00;0.00;0.00;0.00;;;;SI;NO;"<p>Este sweater cropped blanco es el b&aacute;sico imprescindible que combina con todo. Con un dise&ntilde;o de punto acanalado y corte recto a la cintura, aporta ese toque minimalista y moderno que eleva cualquier outfit.</p>";;;;;SI;;;;
sweater-nina;;;Color;Negro;;;;;60,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
sweater-dakota;"Sweater dakota";Superiores;Color;Blanco;;;;;70,000.00;;0.00;0.00;0.00;0.00;;;;SI;NO;"<p data-start=""209"" data-end=""446"">Sum&aacute; un toque de sofisticaci&oacute;n a tu armario con nuestro sweater de tejido acanalado. Su tejido suave y el&aacute;stico, compuesto por <strong data-start=""336"" data-end=""382"">50% viscosa, 28% poli&eacute;ster y 22% poliamida</strong>, te brinda <strong data-start=""394"" data-end=""417"">la m&aacute;xima comodidad</strong> sin dejar de lado el estilo.</p>
<p data-start=""448"" data-end=""757"">Dise&ntilde;ado con <strong data-start=""461"" data-end=""511"">detalles acanalados en cuello, pu&ntilde;os y cintura</strong>, este sweater ofrece un look cl&aacute;sico, atemporal y vers&aacute;til. Su corte moderno y femenino lo convierte en una prenda ideal para cualquier ocasi&oacute;n: desde una salida casual hasta un look m&aacute;s elegante si lo combin&aacute;s con accesorios y calzado adecuado.</p>
<p style=""margin-bottom: 0px; font-style: normal; font-variant-caps: normal; font-width: normal; font-size: 12px; line-height: normal; font-family: Helvetica; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-variant-emoji: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal;"">&nbsp;</p>
<p data-start=""759"" data-end=""970"">Gracias a su fit c&oacute;modo y su textura agradable al tacto, se adapta perfectamente al cuerpo sin perder su forma. <strong data-start=""871"" data-end=""913"">Combinalo con jeans, faldas o vestidos</strong> para lograr outfits distintos con una sola prenda clave.</p>";;;;;SI;;;;
sweater-dakota;;;Color;Gris;;;;;70,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
sweater-dakota;;;Color;Negro;;;;;70,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
sweater-ophelia;"Sweater ophelia";Superiores;Color;Negro;;;;;62,000.00;;0.00;0.00;0.00;0.00;;;;SI;NO;"<p data-start=""233"" data-end=""539"">Nuestro modelo con botones dorados es la opci&oacute;n perfecta para crear looks modernos, c&oacute;modos y con un toque de elegancia. Confeccionado en <strong data-start=""371"" data-end=""395"">tejido 100% acr&iacute;lico</strong>, este sweater ofrece una textura suave, c&aacute;lida y ligeramente el&aacute;stica que se adapta a tu cuerpo brindando m&aacute;xima comodidad durante todo el d&iacute;a.</p>
<p style=""margin-bottom: 0px; font-style: normal; font-variant-caps: normal; font-width: normal; font-size: 12px; line-height: normal; font-family: Helvetica; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-variant-emoji: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal;"">&nbsp;</p>
<p data-start=""541"" data-end=""825"">Dise&ntilde;ado con <strong data-start=""554"" data-end=""600"">tejido acanalado en el cuello y la cartera</strong>, y un <strong data-start=""607"" data-end=""647"">acceso delantero con botones dorados</strong>, este modelo eleva cualquier outfit con un detalle chic y femenino. Adem&aacute;s, incluye <strong data-start=""732"" data-end=""774"">dos bolsillos tipo parche en el frente</strong>, que aportan un toque funcional sin perder estilo.</p>";;;;;SI;;;;
sweater-ophelia;;;Color;Blanco;;;;;62,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
aqua-dorado;"Aqua - Dorado";"Accesorios  > Collares";;;;;;;50,000.00;;0.00;0.00;0.00;0.00;;;;SI;NO;"<p data-start=""190"" data-end=""431"">Este collar de cadena dorada es el accesorio perfecto para elevar cualquier look. Su dise&ntilde;o moderno con eslabones rectangulares unidos por peque&ntilde;as esferas le da un aire sofisticado y vanguardista, ideal tanto para el d&iacute;a como para la noche.</p>
<p>&nbsp;</p>
<p data-start=""433"" data-end=""673"">Fabricado con materiales de alta calidad y terminado en dorado brillante, este collar se destaca por su resistencia, durabilidad y estilo atemporal. Llev&aacute;lo solo para un toque elegante o combin&aacute;lo con otros collares para un look m&aacute;s trendy.</p>";;;;;SI;;;;7,000.00
evelyn;Evelyn;"Accesorios  > Collares";;;;;;;50,000.00;;0.00;0.00;0.00;0.00;;;;SI;NO;"<p data-start=""218"" data-end=""453"">Este collar dorado de triple capa es la definici&oacute;n perfecta de elegancia moderna. Combinando diferentes texturas de cadenas con un delicado <strong data-start=""358"" data-end=""408"">dije en forma de gota con cristal transparente</strong>, aporta luz y movimiento a cualquier outfit.</p>
<p>&nbsp;</p>
<p data-start=""455"" data-end=""691"">Ideal para destacar escotes y complementar looks tanto casuales como formales, su dise&ntilde;o en capas da un efecto sofisticado sin necesidad de sobrecargar. Cada nivel est&aacute; cuidadosamente decorado con detalles que lo hacen &uacute;nico y vers&aacute;til.</p>";;;;;SI;;;;8,500.00
combo-4-collares;"Combo 4 collares";"Accesorios  > Collares";;;;;;;75,000.00;;0.00;0.00;0.00;0.00;;;;SI;NO;"<p>Elev&aacute; tu estilo con este exquisito collar dorado de dise&ntilde;o en capas, compuesto por cuatro delicadas cadenas que combinan <strong data-start=""367"" data-end=""425"">perlas, una flor nacarada y un dije de coraz&oacute;n vintage</strong>. Cada capa fue pensada para transmitir feminidad, elegancia y un toque rom&aacute;ntico atemporal.</p>";;;;;SI;;;;24,500.00
